CBSA Name,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Precip,Pressure,RH,Site,Temp,Wind
"Ardmore, OK",NA,NA,NA,NA,7.51309092361,30.6330532213,NA,NA,NA,NA,NA,NA,0.0334511510791,40.4928057554,NA,NA,11620,Micropolitan Statistical Area,56980.0,1336.2,42.6,481.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnstable Town, MA",NA,NA,NA,NA,5.03760683761,20.6752136752,NA,NA,NA,NA,NA,NA,0.0383154545455,40.1954545455,NA,NA,12700,Metropolitan Statistical Area,215888.0,393.7,548.3,847.1,77478.0,0.824348048134,6743.0,0.0717439645908,8993.0,0.0956834455829,773.0,0.00822454169194,93987.0,NA,NA,NA,NA,NA,NA
"Bellingham, WA",NA,NA,NA,NA,5.37925333209,20.3442265795,NA,NA,NA,NA,NA,NA,0.0190411298701,25.1883116883,NA,NA,13380,Metropolitan Statistical Area,201140.0,2106.9,95.5,1775.1,66149.0,0.732628198029,8220.0,0.0910399822793,13133.0,0.145453538598,2788.0,0.0308782810943,90290.0,NA,NA,NA,NA,NA,NA
"Berlin, NH-VT",NA,NA,NA,NA,3.98076923077,16.4230769231,NA,NA,NA,NA,NA,NA,0.0370857868852,38.1056466302,NA,NA,13620,Micropolitan Statistical Area,39361.0,2458.3,16.0,116.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Billings, MT",NA,NA,NA,NA,5.39624061591,21.8241758242,NA,NA,0.376954709589,5.64383561644,NA,NA,NA,NA,3.87544576433,25.5350318471,13740,Metropolitan Statistical Area,158050.0,4682.1,33.8,2109.9,65097.0,0.804252480202,7967.0,0.0984297204136,7387.0,0.0912640071163,490.0,0.00605379226844,80941.0,NA,NA,NA,NA,NA,NA
"Branson, MO",NA,NA,NA,NA,7.40247933884,30.4380165289,NA,NA,NA,NA,NA,NA,0.0310849178744,40.038647343,NA,NA,14700,Micropolitan Statistical Area,83877.0,1096.5,76.5,195.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bremerton-Silverdale, WA",NA,NA,NA,NA,6.48467638244,25.2159090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14740,Metropolitan Statistical Area,251133.0,394.9,635.9,1835.9,75681.0,0.716316621393,11837.0,0.112036572554,14382.0,0.136124861575,3753.0,0.0355219444786,105653.0,NA,NA,NA,NA,NA,NA
"Carlsbad-Artesia, NM",NA,NA,NA,NA,3.9205588547,16.0867052023,NA,NA,NA,NA,2.39914785163,6.62908011869,0.0337549127907,36.6860465116,NA,NA,16100,Micropolitan Statistical Area,53829.0,4175.7,12.9,1092.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centralia, WA",NA,NA,NA,NA,4.64296392637,17.5995807128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16500,Micropolitan Statistical Area,75455.0,2402.8,31.4,460.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corsicana, TX",NA,NA,NA,NA,9.23155581717,37.2674094708,NA,NA,NA,NA,4.33297647527,9.57142857143,0.0304835686813,35.9450549451,1.08985827747,7.68681318681,18620,Micropolitan Statistical Area,47735.0,1009.6,47.3,421.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corvallis, OR",NA,NA,NA,NA,4.59546151303,18.8461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18700,Metropolitan Statistical Area,85579.0,675.9,126.6,2653.2,25098.0,0.634028040925,3599.0,0.0909182771252,9940.0,0.251105216622,948.0,0.0239484653278,39585.0,NA,NA,NA,NA,NA,NA
"Crescent City, CA",NA,NA,NA,NA,2.77878787879,11.6262626263,14.5423728814,13.3728813559,NA,NA,NA,NA,NA,NA,NA,NA,18860,Micropolitan Statistical Area,28610.0,1006.4,28.4,919.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton, GA",NA,NA,NA,NA,7.92264150943,32.5,NA,NA,NA,NA,NA,NA,0.0427330864198,45.0082304527,NA,NA,19140,Metropolitan Statistical Area,142227.0,634.9,224.0,672.9,54479.0,0.849588297673,6458.0,0.100711122201,2946.0,0.045942236916,241.0,0.00375834321003,64124.0,NA,NA,NA,NA,NA,NA
"Douglas, GA",NA,NA,NA,NA,10.2101694915,40.1186440678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060,Micropolitan Statistical Area,50731.0,914.5,55.5,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle Pass, TX",NA,NA,NA,NA,8.06161184652,32.3099041534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20580,Micropolitan Statistical Area,54258.0,1279.3,42.4,2309.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elko, NV",NA,NA,NA,NA,2.31008403361,9.65546218487,26.7692307692,24.5677655678,NA,NA,NA,NA,NA,NA,NA,NA,21220,Micropolitan Statistical Area,50805.0,21345.5,2.4,359.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ellensburg, WA",NA,NA,NA,NA,6.33854380189,22.4492753623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21260,Micropolitan Statistical Area,40915.0,2297.3,17.8,851.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emporia, KS",NA,NA,NA,NA,6.79416666667,27.6333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21380,Micropolitan Statistical Area,36480.0,1620.5,22.5,1403.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Espanola, NM",NA,NA,NA,NA,2.31442307692,9.68269230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21580,Micropolitan Statistical Area,40246.0,5860.8,6.9,176.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Great Falls, MT",NA,NA,NA,NA,8.10503799297,32.3304843305,NA,NA,0.387404201681,6.31932773109,NA,NA,NA,NA,NA,NA,24500,Metropolitan Statistical Area,81327.0,2698.2,30.1,1857.1,31307.0,0.80524190437,4204.0,0.108130353147,3034.0,0.078036986548,334.0,0.00859075593508,38879.0,NA,NA,NA,NA,NA,NA
"Harrison, AR",NA,NA,NA,NA,7.16632653061,29.6530612245,NA,NA,NA,NA,NA,NA,0.0382135260274,37.9095890411,NA,NA,25460,Micropolitan Statistical Area,45233.0,1411.1,32.1,219.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houghton, MI",NA,NA,NA,NA,3.63392857143,15.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26340,Micropolitan Statistical Area,38784.0,1549.2,25.0,713.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kennewick-Richland-Pasco, WA",NA,NA,NA,NA,5.8006469589,23.6232876712,10.733974359,9.83012820513,NA,NA,NA,NA,NA,NA,NA,NA,28420,Metropolitan Statistical Area,253340.0,2942.6,86.1,2212.4,86917.0,0.787991151566,14171.0,0.128474551685,7836.0,0.0710413229135,1378.0,0.0124929738355,110302.0,NA,NA,NA,NA,NA,NA
"Kingsville, TX",NA,NA,NA,NA,9.46792487736,37.671009772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28780,Micropolitan Statistical Area,32477.0,2339.6,13.9,1341.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
