CBSA Name,season,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Temp,RH,Pressure,Wind,Precip
"Allentown-Bethlehem-Easton, PA-NJ",Summer,40.6402644783,-75.3429896957,14.9387278462,50.5603864734,11.72,44.8,22.0977011494,20.3563218391,0.303623184783,3.21739130435,8.86661266304,19.3152173913,0.0322339637681,51.0942028986,1.27149823333,11.6333333333,"Allentown-Bethlehem-Easton, PA-NJSummer",Metropolitan Statistical Area,821173.0,1453.2,565.1,3889.3,277398.0,0.821185191325,28982.0,0.0857958212207,27152.0,0.0803784465456,4270.0,0.0126405409086,337802.0,72.9390258856,NA,1014.83059236,4.59826743249,317.8
"Allentown-Bethlehem-Easton, PA-NJ",Winter,40.6523662888,-75.3314949134,11.2225180505,39.7929292929,9.6261612,35.875,14.0867052023,12.9710982659,0.344676356322,4.40229885057,12.7504454,23.6888888889,NA,NA,3.92877550526,16.8105263158,"Allentown-Bethlehem-Easton, PA-NJWinter",Metropolitan Statistical Area,821173.0,1453.2,565.1,3889.3,277398.0,0.821185191325,28982.0,0.0857958212207,27152.0,0.0803784465456,4270.0,0.0126405409086,337802.0,32.6456597671,NA,1012.78568588,7.92246820181,321.0
"Altoona, PA",Fall,40.535278,-78.370833,6.14393403947,23.8630136986,NA,NA,12.9333333333,11.9888888889,NA,NA,NA,NA,0.02266425,30.375,5.20148223333,19.8222222222,"Altoona, PAFall",Metropolitan Statistical Area,127089.0,525.8,241.7,2428.7,51740.0,0.843536527708,5125.0,0.0835547874855,4279.0,0.0697621337855,193.0,0.00314655102141,61337.0,43.1961917443,NA,1016.04086271,6.754747002,475.5
"Altoona, PA",Spring,40.535278,-78.370833,4.3068452381,17.8571428571,NA,NA,18.1075268817,16.7311827957,NA,NA,NA,NA,0.0316088313253,41.5180722892,3.98730325806,13.3333333333,"Altoona, PASpring",Metropolitan Statistical Area,127089.0,525.8,241.7,2428.7,51740.0,0.843536527708,5125.0,0.0835547874855,4279.0,0.0697621337855,193.0,0.00314655102141,61337.0,58.1965868465,NA,1014.9964574,5.84374456393,475.0
"Altoona, PA",Summer,40.535278,-78.370833,6.08290960326,24.9891304348,NA,NA,21.097826087,19.4891304348,NA,NA,NA,NA,0.030398032967,46.9340659341,3.66115140217,14.1956521739,"Altoona, PASummer",Metropolitan Statistical Area,127089.0,525.8,241.7,2428.7,51740.0,0.843536527708,5125.0,0.0835547874855,4279.0,0.0697621337855,193.0,0.00314655102141,61337.0,69.5668253413,NA,1016.27577132,3.96247972549,355.1
"Altoona, PA",Winter,40.535278,-78.370833,11.9993236364,41.4545454545,NA,NA,13.6666666667,12.6777777778,NA,NA,NA,NA,NA,NA,6.09032168889,21.5111111111,"Altoona, PAWinter",Metropolitan Statistical Area,127089.0,525.8,241.7,2428.7,51740.0,0.843536527708,5125.0,0.0835547874855,4279.0,0.0697621337855,193.0,0.00314655102141,61337.0,29.0994887589,NA,1014.89385475,8.22488798027,219.4
"Amarillo, TX",Fall,35.201584,-101.909248,5.275,22.0,5.13434987571,21.1149425287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amarillo, TXFall",Metropolitan Statistical Area,249881.0,3649.2,68.5,2591.4,93862.0,0.811779459459,14998.0,0.129712432432,6482.0,0.0560605405405,283.0,0.00244756756757,115625.0,51.8186146907,NA,1016.15363226,10.323084618,151.9
"Amarillo, TX",Spring,35.201584,-101.909248,5.625,22.875,6.85036114516,28.3548387097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amarillo, TXSpring",Metropolitan Statistical Area,249881.0,3649.2,68.5,2591.4,93862.0,0.811779459459,14998.0,0.129712432432,6482.0,0.0560605405405,283.0,0.00244756756757,115625.0,62.6583519313,NA,1009.80205942,13.098203774,241.3
"Amarillo, TX",Summer,35.201584,-101.909248,6.86428571429,28.6428571429,6.87719889674,28.4891304348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amarillo, TXSummer",Metropolitan Statistical Area,249881.0,3649.2,68.5,2591.4,93862.0,0.811779459459,14998.0,0.129712432432,6482.0,0.0560605405405,283.0,0.00244756756757,115625.0,75.5567667845,NA,1012.5008166,10.7478798984,296.3
"Amarillo, TX",Winter,35.201584,-101.909248,5.57857142857,23.3571428571,4.78293827273,19.9540229885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amarillo, TXWinter",Metropolitan Statistical Area,249881.0,3649.2,68.5,2591.4,93862.0,0.811779459459,14998.0,0.129712432432,6482.0,0.0560605405405,283.0,0.00244756756757,115625.0,34.7366231691,NA,1016.56522195,10.8405983437,131.2
"Anchorage, AK",Fall,61.3397716873,-149.587768602,6.23332266623,25.1152882206,1.16034482759,4.87931034483,20.3807106599,17.9949238579,0.936463548495,16.1638795987,NA,NA,0.0114663375,16.55,NA,NA,"Anchorage, AKFall",Metropolitan Statistical Area,380821.0,26312.6,14.5,3006.9,141199.0,0.759334448322,23534.0,0.126560222854,18187.0,0.0978053358143,3031.0,0.0162999930089,185951.0,26.6838277512,NA,NA,3.30443511182,NA
"Anchorage, AK",Spring,61.2995211785,-149.664023477,3.82215866035,15.744047619,1.50483870968,6.3064516129,21.5741239892,19.5929919137,0.607091170213,9.02127659574,NA,NA,0.0261270060606,29.6909090909,NA,NA,"Anchorage, AKSpring",Metropolitan Statistical Area,380821.0,26312.6,14.5,3006.9,141199.0,0.759334448322,23534.0,0.126560222854,18187.0,0.0978053358143,3031.0,0.0162999930089,185951.0,43.6991245136,NA,NA,3.28782780224,NA
"Anchorage, AK",Summer,61.3379522275,-149.590633091,3.4364013733,14.2083333333,1.96290322581,8.22580645161,11.2299465241,10.3556149733,NA,NA,NA,NA,0.0117322391304,15.3369565217,NA,NA,"Anchorage, AKSummer",Metropolitan Statistical Area,380821.0,26312.6,14.5,3006.9,141199.0,0.759334448322,23534.0,0.126560222854,18187.0,0.0978053358143,3031.0,0.0162999930089,185951.0,54.3222781113,NA,NA,2.11734525057,NA
"Anchorage, AK",Winter,61.3369797513,-149.595582731,6.93170670565,27.5792207792,0.813793103448,3.48275862069,11.6234939759,10.75,0.949920811111,16.5694444444,NA,NA,NA,NA,NA,NA,"Anchorage, AKWinter",Metropolitan Statistical Area,380821.0,26312.6,14.5,3006.9,141199.0,0.759334448322,23534.0,0.126560222854,18187.0,0.0978053358143,3031.0,0.0162999930089,185951.0,17.7006038086,NA,NA,2.264148385,NA
"Anderson, IN",Fall,40.125703,-85.652184,10.7536217753,41.396039604,NA,NA,NA,NA,NA,NA,NA,NA,0.0265364444444,32.8888888889,NA,NA,"Anderson, INFall",Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5428571429,NA,NA,6.88684124324,NA
"Anderson, IN",Fall,40.125703,-85.652184,10.7536217753,41.396039604,NA,NA,NA,NA,NA,NA,NA,NA,0.0265364444444,32.8888888889,NA,NA,"Anderson, INFall",Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5428571429,NA,NA,6.88684124324,NA
"Anderson, IN",Spring,40.111975,-85.679952,9.63548387097,38.4516129032,NA,NA,NA,NA,NA,NA,NA,NA,0.0370421566265,41.8915662651,NA,NA,"Anderson, INSpring",Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.552,NA,NA,7.14944352,NA
"Anderson, IN",Spring,40.111975,-85.679952,9.63548387097,38.4516129032,NA,NA,NA,NA,NA,NA,NA,NA,0.0370421566265,41.8915662651,NA,NA,"Anderson, INSpring",Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.552,NA,NA,7.14944352,NA
"Anderson, IN",Summer,40.125131,-85.653341,10.3254439226,40.4387755102,NA,NA,NA,NA,NA,NA,NA,NA,0.0328501086957,40.6304347826,NA,NA,"Anderson, INSummer",Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1038461538,NA,NA,5.13034914286,NA
"Anderson, IN",Summer,40.125131,-85.653341,10.3254439226,40.4387755102,NA,NA,NA,NA,NA,NA,NA,NA,0.0328501086957,40.6304347826,NA,NA,"Anderson, INSummer",Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1038461538,NA,NA,5.13034914286,NA
"Anderson, IN",Winter,40.1189735882,-85.6657957647,15.3759804314,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anderson, INWinter",Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.928,NA,NA,7.39044664023,NA
"Anderson, IN",Winter,40.1189735882,-85.6657957647,15.3759804314,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anderson, INWinter",Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.928,NA,NA,7.39044664023,NA
"Ann Arbor, MI",Fall,42.240565,-83.599602,9.60454545455,37.3636363636,NA,NA,NA,NA,NA,NA,NA,NA,0.0206061111111,25.6666666667,NA,NA,"Ann Arbor, MIFall",Metropolitan Statistical Area,344791.0,706.0,488.4,3363.5,153316.0,0.760126525796,17234.0,0.0854445755536,23127.0,0.114661523664,8021.0,0.0397673749864,201698.0,42.9198452469,NA,1015.95388889,8.17801768545,216.5
"Ann Arbor, MI",Spring,42.240565,-83.599602,6.96,28.5777777778,NA,NA,NA,NA,NA,NA,NA,NA,0.0334116144578,40.0602409639,NA,NA,"Ann Arbor, MISpring",Metropolitan Statistical Area,344791.0,706.0,488.4,3363.5,153316.0,0.760126525796,17234.0,0.0854445755536,23127.0,0.114661523664,8021.0,0.0397673749864,201698.0,58.3124271845,NA,1014.2453405,7.57860035083,451.0
