,CBSA Name,Mode,Total
253,"Albany-Lebanon, OR",Drive Alone,42585.0
254,"Albany-Lebanon, OR",Drive Alone,42585.0
255,"Albany-Lebanon, OR",Drive Alone,42585.0
256,"Albany-Lebanon, OR",Drive Alone,42585.0
257,"Albany-Lebanon, OR",Drive Alone,42585.0
258,"Albany-Lebanon, OR",Drive Alone,42585.0
259,"Albany-Lebanon, OR",Drive Alone,42585.0
260,"Albany-Lebanon, OR",Drive Alone,42585.0
261,"Albany-Lebanon, OR",Drive Alone,42585.0
262,"Albany-Lebanon, OR",Drive Alone,42585.0
263,"Albany-Lebanon, OR",Drive Alone,42585.0
264,"Albany-Lebanon, OR",Drive Alone,42585.0
265,"Albany-Lebanon, OR",Drive Alone,42585.0
266,"Albany-Lebanon, OR",Drive Alone,42585.0
267,"Albany-Lebanon, OR",Drive Alone,42585.0
268,"Albany-Lebanon, OR",Drive Alone,42585.0
269,"Albany-Lebanon, OR",Drive Alone,42585.0
270,"Albany-Lebanon, OR",Drive Alone,42585.0
271,"Albany-Lebanon, OR",Drive Alone,42585.0
272,"Albany-Lebanon, OR",Drive Alone,42585.0
273,"Albany-Lebanon, OR",Drive Alone,42585.0
274,"Albany-Lebanon, OR",Drive Alone,42585.0
275,"Albany-Lebanon, OR",Drive Alone,42585.0
276,"Albany-Lebanon, OR",Drive Alone,42585.0
277,"Albany-Lebanon, OR",Drive Alone,42585.0
278,"Albany-Lebanon, OR",Drive Alone,42585.0
279,"Albany-Lebanon, OR",Drive Alone,42585.0
280,"Albany-Lebanon, OR",Drive Alone,42585.0
281,"Albany-Lebanon, OR",Drive Alone,42585.0
282,"Albany-Lebanon, OR",Drive Alone,42585.0
283,"Albany-Lebanon, OR",Drive Alone,42585.0
284,"Albany-Lebanon, OR",Drive Alone,42585.0
285,"Albany-Lebanon, OR",Drive Alone,42585.0
286,"Albany-Lebanon, OR",Drive Alone,42585.0
287,"Albany-Lebanon, OR",Drive Alone,42585.0
288,"Albany-Lebanon, OR",Drive Alone,42585.0
289,"Albany-Lebanon, OR",Drive Alone,42585.0
290,"Albany-Lebanon, OR",Drive Alone,42585.0
291,"Albany-Lebanon, OR",Drive Alone,42585.0
292,"Albany-Lebanon, OR",Drive Alone,42585.0
293,"Albany-Lebanon, OR",Drive Alone,42585.0
294,"Albany-Lebanon, OR",Drive Alone,42585.0
295,"Albany-Lebanon, OR",Drive Alone,42585.0
296,"Albany-Lebanon, OR",Drive Alone,42585.0
297,"Albany-Lebanon, OR",Drive Alone,42585.0
298,"Albany-Lebanon, OR",Drive Alone,42585.0
299,"Albany-Lebanon, OR",Drive Alone,42585.0
300,"Albany-Schenectady-Troy, NY",Carpool,435150.0
301,"Albany-Schenectady-Troy, NY",Carpool,435150.0
302,"Albany-Schenectady-Troy, NY",Carpool,435150.0
303,"Albany-Schenectady-Troy, NY",Carpool,435150.0
304,"Albany-Schenectady-Troy, NY",Carpool,435150.0
305,"Albany-Schenectady-Troy, NY",Carpool,435150.0
306,"Albany-Schenectady-Troy, NY",Carpool,435150.0
307,"Albany-Schenectady-Troy, NY",Carpool,435150.0
308,"Albany-Schenectady-Troy, NY",Other,435150.0
309,"Albany-Schenectady-Troy, NY",Other,435150.0
310,"Albany-Schenectady-Troy, NY",Other,435150.0
311,"Albany-Schenectady-Troy, NY",Other,435150.0
312,"Albany-Schenectady-Troy, NY",Other,435150.0
313,"Albany-Schenectady-Troy, NY",Other,435150.0
314,"Albany-Schenectady-Troy, NY",Other,435150.0
315,"Albany-Schenectady-Troy, NY",Other,435150.0
316,"Albany-Schenectady-Troy, NY",Public Transportation,435150.0
317,"Albany-Schenectady-Troy, NY",Public Transportation,435150.0
318,"Albany-Schenectady-Troy, NY",Public Transportation,435150.0
319,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
