CBSA,CO,Cluster,NO2,OZONE,PM10,PM25_FRMFEM,SO2
"Roanoke, VA",0.331160652055,1,7.60323301111,0.0345488139535,18.7457627119,10.2565957447,1.07175301389
"Sacramento--Arden-Arcade--Roseville, CA",0.373579222987,1,8.3800494373,0.0284854088115,16.0909090909,7.71782178218,0.238595349325
"San Antonio, TX",0.331975066298,1,6.09679748485,0.0258824209431,16.6659663866,8.84859813084,0.592375733918
"Santa Barbara-Santa Maria-Goleta, CA",0.309268740385,1,3.63972417379,0.0296782091055,17.8262757872,8.22754299121,0.596914583828
"Sioux City, IA-NE-SD",0.121791943925,1,2.95363870274,0.0290411267606,18.6293532338,9.6443791105,0.360347388203
"Springfield, MO",0.313245135036,1,7.95208912868,0.0350100116279,16.9528301887,10.1228915663,2.32892410161
"Tampa-St. Petersburg-Clearwater, FL",0.30956808,1,5.88076101182,0.0289158218969,20.2994555354,8.14595435685,1.05299793176
"Virginia Beach-Norfolk-Newport News, VA-NC",0.332319617945,1,6.36084396067,0.0367669797823,17.0613496933,9.91379844961,2.25002603709
"Wichita, KS",0.486275234247,1,5.99994186648,0.0305781677062,20.2005347594,8.56238185255,0.729765217514
"Boston-Cambridge-Quincy, MA-NH",0.269831838134,2,11.1045117415,0.0303862650463,13.2857142857,8.42147579101,2.29700871012
"Bridgeport-Stamford-Norwalk, CT",0.333197790055,2,10.1189620306,0.0335568186813,14.0666666667,8.75954415954,1.41383176341
"Erie, PA",0.347146117808,2,7.85661743925,0.0352360516432,14.1883116883,11.2421958841,5.61890918384
"Fargo, ND-MN",0.171961726027,2,5.41830160548,0.0264626849315,12.9772079772,9.56817123671,0.292206758904
"Hartford-West Hartford-East Hartford, CT",0.593376433239,2,9.63006608883,0.0343775842491,10.4814814815,7.87372881356,0.994400918994
"Manchester-Nashua, NH",0.422596323288,2,4.97190698039,0.0331606864198,11.8859649123,8.07583333333,1.44927641644
"Portland-Vancouver-Beaverton, OR-WA",0.378074446069,2,9.05446697808,0.0210892118731,12.3157894737,6.22902208202,1.35235764384
"Providence-New Bedford-Fall River, RI-MA",0.321456265193,2,7.57029972264,0.0348405661253,13.6853146853,7.3247488123,2.22867584626
"Reading, PA",0.313807403846,2,8.22607758287,0.0301712329412,8.21690140845,10.1655580624,3.3927978338
"Richmond, VA",0.347474899314,2,8.97151787436,0.0341159606742,15.9579831933,9.87512315271,1.95111744636
"Scranton--Wilkes-Barre, PA",0.308395660274,2,9.11859256198,0.0276243531469,15.2837465565,9.69610394286,1.46539139669
"Springfield, MA",0.281430520478,2,7.79131988818,0.0311449562433,11.7916666667,8.44279661017,1.43771595574
