CBSA Name,season,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,TEMP,PRESS,RH,DP,WIND,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010
"Portland-South Portland-Biddeford, ME",Spring,43.6621909863,-70.2675636849,5.35198060274,21.7857142857,5.02762718623,19.2792207792,14.8947368421,13.8421052632,46.3651433441,1007.73431898,81.001792129,NA,NA,0.3,3.0,5.42071919355,14.4193548387,0.0323177946768,33.9980988593,1.26275407527,2.0752688172,38860,Metropolitan Statistical Area,514098.0,2079.6,247.2,1471.1
"Portland-South Portland-Biddeford, ME",Summer,43.6612535284,-70.2682391004,7.26342873362,30.5611510791,7.57237549751,30.7295081967,14.8571428571,13.7142857143,61.267663087,1028.17889493,89.5430253587,NA,NA,0.3,3.0,4.98022742391,11.5760869565,0.0240040277778,29.6574074074,0.846871413043,1.95652173913,38860,Metropolitan Statistical Area,514098.0,2079.6,247.2,1471.1
"Portland-South Portland-Biddeford, ME",Winter,43.6610527273,-70.2683837727,10.2444749747,40.1090909091,8.23625067337,30.036036036,31.7894736842,29.3684210526,24.5634259111,1012.91203701,74.3967592889,NA,2.96472818182,0.304293,3.72727272727,11.8660148889,25.9111111111,0.0298538375,30.0333333333,1.54202450893,3.75,38860,Metropolitan Statistical Area,514098.0,2079.6,247.2,1471.1
"Portland-Vancouver-Beaverton, OR-WA",Fall,45.6123338404,-122.642154714,8.81251384038,33.3582089552,7.41342961006,29.3675078864,10.7083333333,9.91666666667,51.4500548319,1006.40909095,81.265048291,NA,4.66880600629,0.339961416667,5.48888888889,10.8603402638,18.4478527607,0.0148726111111,19.5,0.599377355556,0.888888888889,"Portland-Vancouver-Hillsboro, OR-WA",NA,NA,NA,NA,NA
"Portland-Vancouver-Beaverton, OR-WA",Spring,45.6141628979,-122.640589477,4.91406294468,19.9090909091,3.95944651877,16.5441176471,8.53246753247,7.88311688312,56.0626985853,1009.35775863,69.7206989484,NA,4.44319583918,0.249818315789,3.54135338346,8.95338786957,16.152173913,0.02628058,30.0457142857,0.8656002,1.23333333333,"Portland-Vancouver-Hillsboro, OR-WA",NA,NA,NA,NA,NA
"Portland-Vancouver-Beaverton, OR-WA",Summer,45.6035715,-122.656711483,6.24244560465,24.8434782609,5.38213065259,21.9875,11.7088607595,10.7215189873,69.1927897182,1007.43999098,60.1079392774,NA,4.69009214977,0.250592818182,3.42613636364,9.59222065537,15.4971751412,0.0224354309091,30.2854545455,1.00119484884,1.44186046512,"Portland-Vancouver-Hillsboro, OR-WA",NA,NA,NA,NA,NA
"Portland-Vancouver-Beaverton, OR-WA",Winter,45.6143034615,-122.640598974,10.2276817137,37.7642857143,7.14802313923,27.6712062257,10.75,9.97222222222,40.7293472927,1011.39421934,81.6677004356,NA,4.85010486492,0.311994089109,5.36633663366,10.5386699901,18.5445544554,0.0174923762376,20.9801980198,0.894423111111,1.36666666667,"Portland-Vancouver-Hillsboro, OR-WA",NA,NA,NA,NA,NA
"Portsmouth, OH",Fall,38.754595,-82.917,7.6023255814,31.3953488372,NA,NA,12.8662420382,11.8312101911,48.5694444556,1002.30509259,NA,NA,4.72236444444,NA,NA,NA,NA,NA,NA,1.62618464684,4.07434944238,39020,Micropolitan Statistical Area,79499.0,610.2,130.3,1077.4
"Portsmouth, OH",Spring,38.754595,-82.917,7.65111111111,31.7555555556,NA,NA,16.4137931034,15.1379310345,62.171439172,998.662576,NA,NA,4.7279881828,NA,NA,NA,NA,NA,NA,1.92666450538,7.29032258065,39020,Micropolitan Statistical Area,79499.0,610.2,130.3,1077.4
"Portsmouth, OH",Summer,38.754595,-82.917,9.99347826087,40.8043478261,NA,NA,17.2689873418,16.0316455696,73.041576087,998.524728272,NA,NA,3.85982626087,NA,NA,NA,NA,NA,NA,1.30968235145,3.9347826087,39020,Micropolitan Statistical Area,79499.0,610.2,130.3,1077.4
"Portsmouth, OH",Winter,38.754595,-82.917,7.33947368421,30.0526315789,NA,NA,14.1353135314,12.9669966997,37.5094934667,1002.58856499,NA,NA,5.40631553933,NA,NA,NA,NA,NA,NA,2.7253148513,7.39033457249,39020,Micropolitan Statistical Area,79499.0,610.2,130.3,1077.4
"Poughkeepsie-Newburgh-Middletown, NY",Fall,41.49916,-74.00885,5.79,24.2,5.86022694444,24.2444444444,NA,NA,45.3234098333,1001.83828504,NA,NA,NA,NA,NA,NA,NA,0.0210004124294,24.6723163842,0.713117411111,0.677777777778,39100,Metropolitan Statistical Area,670301.0,1607.3,417.0,2319.5
"Poughkeepsie-Newburgh-Middletown, NY",Spring,41.49916,-74.00885,5.77586206897,24.1034482759,4.78660626882,19.7956989247,NA,NA,55.3965053978,1001.17697132,NA,NA,NA,NA,NA,NA,NA,0.0326454864865,36.6378378378,0.379776494624,0.225806451613,39100,Metropolitan Statistical Area,670301.0,1607.3,417.0,2319.5
"Poughkeepsie-Newburgh-Middletown, NY",Summer,41.49916,-74.00885,7.88064516129,32.935483871,5.37305860221,22.1011235955,NA,NA,69.0602748696,1001.8300744,NA,NA,NA,NA,NA,NA,NA,0.0262202717391,35.3315217391,0.37506475,0.119565217391,39100,Metropolitan Statistical Area,670301.0,1607.3,417.0,2319.5
"Poughkeepsie-Newburgh-Middletown, NY",Winter,41.49916,-74.00885,9.38333333333,36.5666666667,9.56277866111,38.8555555556,NA,NA,26.3392310667,1002.06070853,NA,NA,NA,NA,NA,NA,NA,0.0274494611111,29.25,1.17275229885,2.41379310345,39100,Metropolitan Statistical Area,670301.0,1607.3,417.0,2319.5
"Prineville, OR",Fall,44.299787,-120.844773,11.4466666667,39.7,12.1026530889,41.4222222222,NA,NA,43.792998,914.536111111,70.1819687778,NA,2.40937624719,NA,NA,NA,NA,NA,NA,NA,NA,39260,Micropolitan Statistical Area,20978.0,2979.1,7.0,19.6
"Prineville, OR",Spring,44.299787,-120.844773,4.2,17.3333333333,3.5221033871,14.623655914,NA,NA,51.3405017097,914.321236505,52.439068086,NA,3.52046369892,NA,NA,NA,NA,NA,NA,NA,NA,39260,Micropolitan Statistical Area,20978.0,2979.1,7.0,19.6
"Prineville, OR",Summer,44.299787,-120.844773,10.8266666667,36.7,8.45102078261,30.0869565217,NA,NA,66.4578804239,914.517210185,45.9039855326,NA,2.97439543478,NA,NA,NA,NA,NA,NA,NA,NA,39260,Micropolitan Statistical Area,20978.0,2979.1,7.0,19.6
"Prineville, OR",Winter,44.299787,-120.844773,14.17,48.2666666667,13.3630843,46.5111111111,NA,NA,34.9310185333,916.893055522,71.8930556,NA,2.82534744444,NA,NA,NA,NA,NA,NA,NA,NA,39260,Micropolitan Statistical Area,20978.0,2979.1,7.0,19.6
"Providence-New Bedford-Fall River, RI-MA",Fall,41.7302785304,-71.4117416664,6.07663813759,24.6957087126,8.8,35.0,8.05479452055,7.46575342466,47.93780526,1011.84708129,73.3563381148,NA,3.550165,0.441684783333,6.78888888889,12.4533416871,20.0322580645,0.0229014571429,25.94,0.702457725926,1.32222222222,39300,Metropolitan Statistical Area,1600852.0,1586.9,1008.8,4763.7
"Providence-New Bedford-Fall River, RI-MA",Spring,41.7277221594,-71.4117748468,4.56142795304,20.00390625,5.69310344828,23.5862068966,12.253968254,11.3333333333,54.0179106875,1011.84933971,63.3820526555,NA,3.83822736388,0.35557012,5.0,8.05328637673,15.0138504155,0.0353173741935,37.1053763441,0.817642304659,2.21863799283,39300,Metropolitan Statistical Area,1600852.0,1586.9,1008.8,4763.7
