CO,NO2,OZONE,PM10,PM25,SO2,city,id,population,popdense,area,other_frac,car_frac,pt_frac,Car,PT,Other,latitude,longitude,Precip,Pressure,RH,Site,Temp,Wind
0.33711790393,16.4589095745,0.0230471666667,26.5626666667,19.524,0.268702290076,Reims,FR14012,317611.0,462.841980248,686.2190846,0.31,0.6,0.09,190566.6,28584.99,98459.41,49.2441465,4.01964675,602.9,1014.29111631,NA,070700-99999-2010,48.2962443171,6.2178824495
NA,11.2460106383,0.0265235,22.429,NA,0.152480916031,Tarbes,FR12052,115557.0,470.192102434,245.76550606,NA,NA,NA,NA,NA,NA,43.232038,0.070648,961.1,1015.29034425,NA,076210-99999-2010,51.8049340736,5.102686755
NA,10.8037234043,0.0243245,23.199,NA,NA,Evreux,FR25039,111449.0,459.219662784,242.69213414,NA,NA,NA,NA,NA,NA,49.021339,1.148319,497.3,1014.74219893,NA,070380-34061-2010,48.4108770747,7.29094038914
0.293449781659,17.8535460993,0.0212205,26.536,18.444,2.44866412214,Rouen,FR25034,658285.0,1104.86545094,595.80557926,0.27,0.65,0.08,427885.25,52662.8,177736.95,49.4145773571,1.06244578571,790.9,1014.51066877,NA,070370-99999-2010,47.9582619318,7.45229689351
0.643668122271,16.9036569149,0.0274540714286,28.5036666667,19.345,0.413613231552,Nice,FR24009,1004914.0,1149.82301516,873.97276516,0.41,0.48,0.11,482358.72,110540.54,412014.74,43.67320975,7.18481233333,923.9,1012.14430171,NA,076900-99999-2010,59.4070970251,7.69242148299
NA,13.2555851064,0.0193405,25.3705,23.538,0.934351145038,Douai - Lens,FR28010,540981.0,2068.95090703,261.47599644,0.3,0.66,0.04,357047.46,21639.24,162294.3,50.417651,2.93655566667,678.5,1014.14415676,NA,070150-99999-2010,49.9388670116,7.93197833921
NA,8.52765957447,0.02543975,20.624,NA,0.15572519084,Bourges,FR34030,139968.0,318.67542629,439.21805214,NA,NA,NA,NA,NA,NA,47.0851985,2.40442,633.1,1014.6264138,NA,072550-99999-2010,51.6191625616,5.91271298822
NA,4.42074468085,0.0089045,30.461,NA,0.912595419847,Cayenne (Guyane),FR40004,121490.0,61.8685318322,1963.68002282,NA,NA,NA,NA,NA,NA,4.933468,-52.3202515,NA,NA,NA,NA,NA,NA
0.317903930131,21.4183510638,0.0218575,26.639,20.169,NA,Saint-Etienne,FR29426,512830.0,1305.1619366,392.92442234,NA,NA,NA,NA,NA,NA,45.504375,4.569471,718.4,1014.69628726,NA,074750-99999-2010,48.9180363636,4.87600801939
NA,NA,0.036689,NA,NA,NA,Beziers,FR08023,165498.0,956.375707385,173.04705538,NA,NA,NA,NA,NA,NA,43.406792,3.188806,NA,NA,NA,076415-99999-2010,57.7087754032,8.53597630203
NA,7.99228723404,0.0268295,27.486,26.0,0.620229007634,Lorient,FR19032,215591.0,1116.93542162,193.02011184,0.26,0.66,0.08,142290.06,17247.28,56053.66,47.747364,-3.385232,NA,NA,NA,NA,NA,NA
NA,12.3867021277,0.024113,26.302,NA,0.330534351145,Roanne,FR29423,107209.0,377.679746108,283.8621904,NA,NA,NA,NA,NA,NA,46.041111,4.074656,811.8,1014.95706076,NA,073790-99999-2010,48.9937340021,4.08462995716
NA,9.6585106383,0.0285875,18.993,NA,1.17232824427,Cherbourg-Octeville,FR21035,116517.0,687.201731951,169.55283228,NA,NA,NA,NA,NA,NA,49.636389,-1.626667,838.3,1014.74899518,NA,070240-99999-2010,49.2215008157,9.29715382563
NA,8.78776595745,0.02570175,21.076,NA,NA,Blois,FR34502,127053.0,331.492419012,383.27573336,NA,NA,NA,NA,NA,NA,47.5917706667,1.32412133333,665.0,1014.20032689,NA,072450-99999-2010,50.9220318237,7.04435771056
